ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Meta: _wpcom_is_markdown","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 visible","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 visible","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 visible","Attribute 10 global","Attribute 11 name","Attribute 11 value(s)","Attribute 11 visible","Attribute 11 global"
,simple,PosterLK00124,"Wieczór Trzech Króli || Twelfth Night, Or What You Will William Shakespeare || Was ihr wollt",1,0,visible,"Wieczór Trzech Króli","Polish Poster",,,taxable,,0,0,1,0,0,,,,,1,"Shipping: 24h",,130.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00124.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1973 / R 2008",1,1,"Poster Size","ca. 70x100 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00125,"Wieczór Trzech Króli || Twelfth night, Or What You Will William Shakespeare || Was ihr wollt",1,0,visible,"Wieczór Trzech Króli","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00125.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1976 / R 2008",1,1,"Poster Size","ca. 63x88 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00126,"Umarła klasa Tadeusz Kantor || Dead Class Tadeusz Kantor || Tote Klasse Tadeusz Kantor",1,0,visible,"Umarła klasa Tadeusz Kantor","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00126.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1988 / R 2008",1,1,"Poster Size","ca. 70x100 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00127,"Hedda Gabler",1,0,visible,"Hedda Gabler","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00127.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1976 / R 2008",1,1,"Poster Size","ca. 70x100 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00128,"The Odyssey Theatre Ensamble || Odyssey Theatre Ensamble",1,0,visible,"The Odyssey Theatre Ensamble","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00128.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1977 / R 2008",1,1,"Poster Size","ca. 70x100 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00129,"Comedians and Trevor Griffiths Music Cente || Comedians and Trevor Griffiths Music Center",1,0,visible,"Comedians and Trevor Griffiths Music Cente","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,"MUSIC POSTER",,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00129.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1977 / R 2008",1,1,"Poster Size","ca. 73.5x100 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00130,"Otello || Othello",1,0,visible,Otello,"Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,300.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00130.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release",1968,1,1,"Poster Size","ca. A1 = 58x82 cm / 23x33 in",1,1,Edition,original,1,1,"Print Technique",offset,1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00131,"The Old spaghetti Factory || Old spaghetti Factory",1,0,visible,"The Old spaghetti Factory","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,140.0000,EXHIBITION,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00131.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1976 / R 2008",1,1,"Poster Size","ca. B1 = 68x97cm = 27x38 in",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00132,"Dybbuk Sloyme Ansky",1,0,visible,"Dybbuk Sloyme Ansky","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00132.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1972 / R 2008",1,1,"Poster Size","ca. 70x100 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00133,"Dybbuk Sloyme Ansky",1,0,visible,"Dybbuk Sloyme Ansky","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00133.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1972 / R 2008",1,1,"Poster Size","ca. 70x100 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
